Déplacement (mm);Force (N)
9.43;9549.24
9.43;9533.24
9.43;9549.24
9.43;9549.24
9.43;9549.24
9.49;9533.24
9.49;9533.24
9.49;9533.24
9.49;9549.24
9.49;9533.24
9.49;9549.24
9.49;9549.24
9.49;9549.24
9.55;9533.24
9.55;9533.24
9.55;9533.24
9.55;9549.24
9.55;9533.24
9.55;9549.24
9.6;9533.24
9.6;9549.24
9.6;9533.24
9.6;9549.24
9.6;9533.24
9.6;9549.24
9.66;9533.24
9.66;9549.24
9.66;9533.24
9.66;9549.24
9.66;9533.24
9.66;9549.24
9.71;9533.24
9.71;9549.24
9.71;9533.24
9.71;9549.24
9.71;9549.24
9.71;9533.24
9.71;9565.23
9.77;9533.24
9.77;9533.24
9.77;9565.23
9.77;9533.24
9.77;9549.24
9.77;9533.24
9.77;9549.24
9.83;9533.24
9.83;9549.24
9.83;9533.24
9.83;9549.24
9.83;9533.24
9.83;9549.24
9.83;9565.23
9.88;9533.24
9.88;9533.24
9.88;9565.23
9.88;9565.23
9.88;9533.24
9.88;9565.23
9.88;9565.23
9.94;9533.24
9.94;9533.24
9.94;9533.24
9.94;9549.24
9.94;9533.24
9.94;9549.24
9.94;9549.24
10.00;9533.24
10.00;9533.24
10.00;9565.23
10.00;9533.24
10.00;9565.23
10.00;9549.24
10.00;9565.23
10.05;9533.24
10.05;9549.24
10.05;9533.24
10.05;9565.23
10.05;9565.23
10.05;9565.23
10.11;9533.24
10.11;9549.24
10.11;9549.24
10.11;9565.23
10.11;9533.24
10.11;9565.23
10.11;9549.24
10.16;9533.24
10.16;9533.24
10.16;9549.24
10.16;9533.24
10.16;9549.24
10.16;9565.23
10.16;9565.23
10.22;9533.24
10.22;9533.24
10.22;9549.24
10.22;9565.23
10.22;9549.24
10.22;9565.23
10.28;9533.24
10.28;9549.24
10.28;9533.24
10.28;9565.23
10.28;9533.24
10.28;9549.24
10.28;9565.23
10.28;9565.23
10.33;9533.24
10.33;9533.24
10.33;9533.24
10.33;9565.23
10.33;9533.24
10.33;9565.23
10.39;9533.24
10.39;9565.23
10.39;9549.24
10.39;9565.23
10.39;9565.23
10.39;9565.23
10.44;9549.24
10.44;9533.24
10.44;9533.24
10.44;9565.23
10.44;9533.24
10.44;9565.23
10.44;9549.24
10.44;9565.23
10.44;9565.23
10.5;9533.24
10.5;9533.24
10.5;9565.23
10.5;9533.24
10.5;9565.23
10.5;9565.23
10.5;9565.23
10.56;9549.24
10.56;9549.24
10.56;9549.24
10.56;9565.23
10.56;9549.24
10.56;9549.24
10.61;9533.24
10.61;9533.24
10.61;9533.24
10.61;9549.24
10.61;9533.24
10.61;9565.23
10.61;9565.23
10.61;9565.23
10.67;9549.24
10.67;9549.24
10.67;9533.24
10.67;9565.23
10.67;9533.24
10.67;9565.23
10.73;9533.24
10.73;9565.23
10.73;9549.24
10.73;9565.23
10.73;9549.24
10.73;9565.23
10.73;9565.23
10.73;9565.23
10.78;9533.24
10.78;9533.24
10.78;9533.24
10.78;9565.23
10.78;9533.24
10.78;9565.23
10.84;9533.24
